链接,药名,处方,功能主治,用法用量,图片
http://www.zhongyoo.com/zhongchengyao/lltwsy_8544.html,路路通注射液,三七总皂苷,活血祛瘀，通脉活络。用于中风偏瘫、瘀血阻络证。动脉粥状硬化性血栓性脑梗塞、脑栓塞、视网膜中央静脉阻塞见瘀血阻络证者。,肌内注射，每次100mg，每日1～2次;静脉注射，每次200～400mg，用5%～10%葡萄糖注劓液250～500ml稀释后缓缓滴注，每日1次。,http://www.zhongyoo.com//uploads/allimg/1610/2-161011213A34N.jpg
http://www.zhongyoo.com/zhongchengyao/ffdyg_13473.html,复方丹茵膏,茵陈、丹参、柴胡、白茅根、板蓝根、甘草、大枣、蔗糖,清热利湿，解毒退黄。用于急性传染性肝炎。,口服。一次30克(相当于2汤匙)，一日2次。小儿酌减或遵医嘱。,http://www.zhongyoo.com//uploads/allimg/2112/1-211201161014641.jpg
http://www.zhongyoo.com/zhongchengyao/ycwdw_13472.html,茵陈五疸丸,茵陈蒿、黄芩、茯苓、猪苓、泽泻、苍术、白术(麸炒)、陈皮、厚朴(姜制)、枳椇子、六神曲(麸炒)、山楂、甘草,清热利湿，通利小便。用于湿热黄疸，周身浮肿，遍身发黄，小便赤黄、小水不利。,口服。成人一次6～10克，一日3次，饭后温开水送下。儿童用量酌减。,http://www.zhongyoo.com//uploads/allimg/2112/1-211201152F4620.jpg
http://www.zhongyoo.com/zhongchengyao/snt_335.html,四逆汤口服液,附子(制)300克、干姜200克、炙甘草300克,温中祛寒，回阳救逆。用于阳虚欲脱，冷汗自出，四肢厥逆，下利清谷，脉微欲绝。,口服。一次10~20毫升，一日3次，或遵医嘱。,http://www.zhongyoo.com//uploads/allimg/141207/1-14120H101294O.jpg
http://www.zhongyoo.com/zhongchengyao/djbxw_6777.html,调经补血丸,当归(酒制)、熟地黄(酒制)、续断、白术(土炒)、益母草、丹参、香附(制)、木香、鸡血藤膏,理气，养血，通经。用于血虚气滞之月经不调、腰酸腹痛。,口服，大蜜丸每次1丸；水丸每次4～6粒，每日3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100GT51H18.jpg
http://www.zhongyoo.com/zhongchengyao/fzlzw_286.html,附子理中丸,附子(制)100克、党参200克、白术(炒)150克、干姜100克、甘草100克,温中健脾。用于脾胃虚寒，脘腹冷痛，呕吐泄泻，手足不温。,口服。水蜜丸一次6克，大蜜丸一次1丸，一日2~3次。,http://www.zhongyoo.com//uploads/allimg/141207/1-14120H1235SQ.jpg
http://www.zhongyoo.com/zhongchengyao/zsasw_486.html,朱砂安神丸,朱砂200克、黄连300克、地黄200克、当归200克、甘草100克,清心养血，镇惊安神。用于胸中烦热，心悸不宁，失眠多梦。,口服。水蜜丸一次6克，小蜜丸一次9克，大蜜丸一次1丸，一日1~2次。,http://www.zhongyoo.com//uploads/allimg/141207/1-14120G91533B4.jpg
http://www.zhongyoo.com/zhongchengyao/ajbxkfy_258.html,阿胶补血口服液,阿胶液(40%)160克、熟地黄150克、党参150克、黄芪(蜜炙)75克、白术(麸炒)75克、枸杞子75克分析中重用阿胶滋阴润肺补血，为君药。党参补脾肺之气，生津血，偏于滋补强壮；黄芪升阳固表，偏于温补固护，两药相须为用，可以增强甘温补气之效，辅助阿胶以阳生阴长，补益肝肾，共为臣熟地补血益精，滋肾养肝；白术补脾燥湿，和中祛痰枸杞子补肾益精，养肝明目，共为佐使药。全方配伍，补而不滞，共奏滋阴补血，补中益气，健脾润肺之功,滋阴补血，补中益气，健脾润肺。用于久病体弱，血亏目昏，虚劳咳嗽。,口服。一次20毫升，一日3次。,http://www.zhongyoo.com//uploads/allimg/141207/1-14120H14251100.jpg
http://www.zhongyoo.com/zhongchengyao/qzxfw_13385.html,七制香附丸,香附、当归、川芎、白芍、熟地黄、白术、砂仁、黄芩、地黄、酸枣仁、天冬、鲜牛乳、小茴香、延胡索、茯苓、甘草、人参、山茱萸、食盐、阿胶、艾叶、艾叶炭、稻米、益母草,开郁顺气，调经养血。用于气滞经闭，胸闷气郁，两胁胀痛，饮食减少，四肢无力，腹内作痛，湿寒白带。,口服，每次6克。,http://www.zhongyoo.com//uploads/allimg/2011/1-20111GR04aK.jpg
http://www.zhongyoo.com/zhongchengyao/bxdjp_13353.html,补血调经片,鸡血藤、阿胶(海蛤粉炒)、岗稔子、益母草、豆豉姜、高良姜、苍术、党参、五指毛桃、香附(制)、桑寄生、千斤拔、金樱子、艾叶(炒)、肉桂、荠菜、白背叶、甘草(炙),补血理气，调经。用于妇女贫血，面色痿黄，赤白带下，经痛，经漏，闭经等症。,口服。每次3片，每日3次，空腹温开水送服。,http://www.zhongyoo.com//uploads/allimg/2004/1-20042G1431X38.jpg
