名字,组成
路路通注射液,['总皂苷']
复方丹茵膏,"['茵陈', '丹参', '柴胡', '白茅根', '板蓝根', '甘草', '大枣', '蔗糖']"
茵陈五疸丸,"['茵陈蒿', '黄芩', '茯苓', '猪苓', '泽泻', '苍术', '白术', '厚朴', '枳椇子', '神曲', '山楂', '甘草']"
四逆汤口服液,"['附子', '干姜', '炙甘草']"
调经补血丸,"['当归', '熟地黄', '续断', '白术', '益母草', '丹参', '香附', '木香', '鸡血藤膏']"
附子理中丸,"['附子', '党参', '白术', '干姜', '甘草']"
朱砂安神丸,"['朱砂', '黄连', '地黄', '当归', '甘草']"
阿胶补血口服液,"['阿胶液', '熟地黄', '党参', '黄芪', '白术', '枸杞子析中重用阿胶滋阴润肺补血', '为君药', '党参补脾肺之气', '生津血', '偏于滋补强壮', '黄芪阳固表', '偏于温补固护', '药相须为用', '可以增强甘温补气之效', '辅助阿胶以阳生阴长', '补益肝肾', '共为臣熟地补血益精', '滋肾养肝', '白术补脾燥湿', '和中祛痰枸杞子补肾益精', '养肝明目', '共为佐使药', '全配伍', '补而不滞', '共奏滋阴补血', '补中益气', '健脾润肺之功']"
七制香附丸,"['香附', '当归', '川芎', '白芍', '熟地黄', '白术', '砂仁', '黄芩', '地黄', '酸枣仁', '天冬', '鲜牛乳', '小茴香', '延胡索', '茯苓', '甘草', '人参', '山茱萸', '食盐', '阿胶', '艾叶', '艾叶炭', '稻米', '益母草']"
补血调经片,"['鸡血藤', '阿胶', '岗稔子', '益母草', '豆豉姜', '高良姜', '苍术', '党参', '指毛桃', '香附', '桑寄生', '千拔', '金樱子', '艾叶', '肉桂', '荠菜', '白背叶', '甘草']"
调经丸,"['当归', '白芍', '熟地黄', '川芎', '阿胶', '白术', '茯苓', '甘草', '香附', '牡丹', '延胡索', '益母草', '艾叶', '小茴香', '吴茱萸', '续断', '黄芩', '麦冬']"
鸡骨草肝炎颗粒,"['鸡骨草', '茵陈', '地耳草', '鸭脚艾', '鹰不泊', '桃金娘根']"
玉屏风口服液,"['黄芪', '白术', '防风']"
二益丸,"['黑附子', '肉桂', '吴茱萸', '蛇床子', '肉豆蔻', '砂仁', '山柰', '海螵蛸', '橘红', '木香', '甘草', '白芷', '龙骨', '当归', '花椒', '公丁香', '细辛', '母丁香', '檀香', '豆蔻', '枯矾', '朱砂']"
益胆片,"['郁金', '金银花', '白矾', '甘草', '硝石', '滑石粉', '玄参']"
尿感宁颗粒,"['海金沙藤', '连草', '凤尾草', '葎草', '紫花地丁']"
结石通片,"['广金草', '海金沙草', '石韦', '白茅根', '车前草', '玉米须', '茯苓', '鸡骨草']"
利肝片,"['金草', '猪胆汁']"
胆石清片,"['硝石', '皂矾', '牛胆汁', '羊胆汁', '大黄', '芒硝', '威灵仙', '鸡内金', '郁金', '山楂']"
胆石通胶囊,"['蒲公英', '水线草', '绵茵陈', '广金草', '溪黄草', '枳壳', '柴胡', '大黄', '黄芩', '鹅胆干膏粉']"
复方胆通片,"['胆通', '溪黄草', '茵陈', '穿莲', '大黄']"
乌军治胆片,"['乌梅', '大黄', '佛手', '枳实', '牛至', '栀子', '槟榔', '姜黄', '威灵仙', '甘草']"
五淋丸,"['海金沙', '川木通', '栀子', '黄连', '石韦', '茯苓', '琥珀', '地黄', '白芍', '川芎', '当归', '甘草']"
清热银花糖浆,"['山银花', '菊花', '白茅根', '通草', '大枣', '甘草', '绿茶叶']"
分清五淋丸,"['木通', '车前子', '黄芩', '茯苓', '猪苓', '黄柏', '大黄', '萹蓄', '瞿麦', '知母', '泽泻', '栀子', '甘草', '滑石']"
肾炎解热片,"['白茅根', '连翘', '杏仁', '大腹', '蒲公英', '泽泻', '茯苓', '桂枝', '车前子', '蝉蜕', '赤小豆', '生石膏', '荆芥']"
胰胆炎合剂,"['柴胡', '黄芩', '厚朴', '大黄', '枳实', '蒲公英', '赤芍', '北败酱', '法夏', '甘草']"
消炎利胆片,"['穿莲', '溪黄草', '苦木']"
茵山莲颗粒,"['茵陈', '边莲', '味子', '栀子', '甘草', '板蓝根']"
清肝利胆口服液,"['茵陈', '山银花', '栀子', '厚朴', '防己']"
金菊五花茶颗粒,"['金银花', '槐花', '野菊花', '木棉花', '甘草', '葛花']"
久芝清心丸,"['大黄', '黄芩', '桔梗', '丁香', '牛黄', '麝香', '冰片', '朱砂', '雄黄', '薄荷脑']"
凉膈丸,"['连翘', '栀子', '黄芩', '薄荷', '大黄', '芒硝', '甘草', '石膏', '淡竹叶']"
牛黄清热胶囊,"['牛黄', '黄连', '寒水石', '玳瑁', '冰片', '琥珀粉', '黄芩', '栀子', '郁金', '水牛角浓缩粉', '朱砂']"
上清丸,"['大黄', '黄芩', '黄柏', '栀子', '连翘', '防风', '菊花', '薄荷', '川芎', '白芷', '荆芥', '桔梗']"
感冒退热颗粒,"['大青叶', '板蓝根', '连翘', '拳参']"
板蓝根茶,['板蓝根']
复方双花口服液,"['金银花', '连翘', '穿莲', '板蓝根']"
莲芝消炎胶囊,"['穿莲总内脂', '山芝麻于浸膏']"
牛黄西羚丸,"['牛黄', '甘草', '黄柏', '羚羊角', '白芍', '茯苓', '冰片', '枳壳', '苦杏仁', '雄黄', '清夏', '当归', '黄连', '木通', '栀子', '瓜蒌', '水牛角浓缩粉', '黄芩', '朱砂', '麝香', '防风', '麦冬', '桔梗']"
龟鹿二仙膏,"['龟甲', '鹿角', '党参', '枸杞子']"
牛黄噙化丸,"['牛黄', '麝香', '冰片', '黄连', '硼砂', '雄黄', '绿豆粉', '金果榄', '柿霜']"
万应甘和茶,"['藿香', '紫苏', '厚朴', '苍术', '白术', '茯苓', '泽泻', '木瓜', '甘草', '砂仁', '苦杏仁', '白扁豆', '茶叶']"
双黄连颗粒,"['金银花', '黄芩', '连翘']"
银黄注射液,"['金银花提取物', '黄芩苷']"
菊蓝抗流感片,"['野菊花', '板蓝根', '人工牛黄', '水牛角浓缩粉', '乙酰水杨酸']"
去感热注射液,"['石膏', '芦竹根', '青蒿', '竹叶柴胡']"
双清口服液,"['温郁金', '金银花', '连翘', '广藿香', '知母', '大青叶', '生地黄', '桔梗', '甘草', '石膏', '蜂蜜', '山梨酸钾']"
抗感颗粒,"['金银花', '赤芍', '绵马贯众']"
清瘟解毒丸,"['葛根', '柴胡', '羌活', '白芷', '防风', '川芎', '黄芩', '大青叶', '牛蒡子', '连翘', '赤芍', '玄参', '天花粉', '桔梗', '淡竹叶', '甘草']"
参苏宣肺丸,"['前胡', '紫苏叶', '法夏', '人参', '茯苓', '桔梗', '枳壳', '木香', '甘草', '葛根']"
荆防败毒丸,"['防风', '荆芥', '赤茯苓', '羌活', '独活', '川芎', '柴胡', '薄荷', '前胡', '桔梗', '枳壳', '党参', '甘草']"
芎菊上清丸,"['羌活', '川芎', '白芷', '菊花', '连翘', '蔓荆子', '薄荷', '防风', '荆芥穗', '藁本', '黄芩', '黄连', '栀子', '桔梗', '甘草']"
卫生宝丸,"['柴胡', '黄芩', '玄参', '天花粉', '麦冬', '竹茹', '僵蚕', '荆芥穗', '薄荷', '桔梗', '紫苏叶', '苦杏仁', '神曲', '甘草', '朱砂粉', '羚羊角粉', '水牛角浓缩粉', '冰片', '雄黄粉']"
柴黄口服液,"['柴胡', '黄芩']"
柴胡注射液,"['柴胡', '经水蒸气蒸馏制成的灭菌水溶液']"
小柴胡汤丸,"['柴胡', '黄芩', '党参', '制夏', '甘草', '生姜', '大枣']"
少阳感冒颗粒,"['北柴胡', '青蒿', '黄芩', '生晒参', '生姜', '大枣', '甘草']"
金银花露,['金银花']
无极丸,"['甘草', '石膏', '滑石粉', '糯米', '薄荷脑', '冰片', '丁香', '砂仁', '白豆蔻', '肉桂', '牛黄', '人造香']"
青六散,['红曲']
梅苏丸,"['乌梅', '薄荷叶', '紫苏叶', '豆蔻', '葛根', '柿霜', '檀香']"
清凉防暑颗粒,"['白茅根', '芦根', '淡竹叶', '牛筋草', '滑石', '甘草']"
暑热感冒颗粒,"['香薷', '连翘', '菊花', '荷叶', '丝瓜络', '佩兰', '知母', '生石膏', '北沙参', '竹茹', '竹叶']"
周氏回生丸,"['檀香', '木香', '沉香', '公丁香', '麝香', '冰片', '雄黄', '山慈菇', '红大戟', '千金子霜', '神曲', '朱砂', '倍子', '甘草']"
庆余辟瘟丹,"['羚羊角', '香附', '大黄', '土藿香', '玄精石', '玄明粉', '朱砂', '木香', '川乌', '倍子', '苍术', '苏合香', '玳瑁', '雄黄', '黄连', '滑石', '猪牙皂', '厚朴', '肉桂', '郁金', '茯苓', '茜草', '金银花', '黄芩', '柴胡', '黄柏', '紫苏叶', '白芷', '天麻', '川芎', '草河车', '干姜', '丹参', '桔梗', '石菖蒲', '檀香', '蒲黄', '琥珀', '麻黄', '麝香', '安息香', '冰片', '细辛', '千金子霜', '丁香', '巴豆霜', '当归', '桃仁霜', '甘遂', '红大戟', '莪术', '槟榔', '胡椒', '葶苈子', '白芍', '禹粮石', '桑白', '山豆根', '毛慈菇', '鬼箭羽', '降香', '赤豆', '紫菀', '牛黄', '铜石龙子', '芫花', '蜈蚣', '斑蝥', '大枣', '水牛角浓缩粉', '雌黄']"
避瘟散,"['檀香', '零陵香', '白芷', '香排草', '姜黄', '玫瑰花', '甘松', '丁香', '木香', '人工麝香', '冰片', '朱砂', '薄荷脑']"
甘露消毒丸,"['藿香', '石菖蒲', '白豆蔻', '连翘', '黄芩', '木通', '滑石', '茵陈', '川贝母', '射干', '薄荷']"
莲花峰茶,"['枳实', '川木通', '甘草', '紫苏', '桔梗', '天花粉', '滑石', '小茴香', '茯苓', '广藿香', '槟榔', '香薷', '木瓜', '前胡', '桑叶', '桑白', '柴胡', '豆蔻', '鬼针草', '木香', '丁香', '山楂', '茵陈', '泽泻', '防风', '层塔', '白术', '白扁豆', '苍术', '大腹', '铁苋菜', '水龙', '车前子', '砂仁', '丁葵草', '厚朴', '麦芽', '桂枝', '稻芽', '荆芥', '爵床', '茶叶']"
祛暑丸,"['广藿香', '木瓜', '丁香', '檀香', '茯苓', '甘草', '紫苏叶', '香薷']"
藿香正气丸,"['广藿香', '紫苏叶', '白芷', '白术', '厚朴', '茯苓', '桔梗', '甘草', '大腹', '生姜', '大枣']"
维C银翘片,"['山银花', '连翘', '荆芥', '淡豆豉', '淡竹叶', '牛蒡子', '芦根', '桔梗', '甘草', '马来酸氯苯那敏', '对乙酰氨基酚', '维生素C', '薄荷素油']"
玉叶解毒颗粒,"['玉叶金花', '金银花', '菊花', '野菊花', '岗梅', '山芝麻', '积雪草']"
银翘伤风胶囊,"['山银花', '连翘', '牛蒡子', '桔梗', '芦根', '薄荷', '淡豆豉', '甘草', '淡竹叶', '荆芥', '人工牛黄']"
金青感冒颗粒,"['金银花', '大青叶', '板蓝根', '鱼腥草', '薄荷', '淡豆豉', '淡竹叶', '甘草']"
三金感冒片,"['薄荷油', '叉苦', '玉叶金花', '金盏银盘', '大头陈', '金沙藤', '倒扣草', '地胆头']"
羚翘解毒丸,"['羚羊角', '金银花', '连翘', '薄荷', '荆芥穗', '淡豆豉', '牛蒡子', '桔梗', '淡竹叶', '甘草']"
桑菊银翘散,"['桑叶', '菊花', '金银花', '连翘', '川贝母', '桔梗', '薄荷', '淡竹叶', '荆芥', '牛蒡子', '苦杏仁', '芦根', '蝉蜕', '僵蚕', '滑石', '绿豆', '淡豆豉', '甘草']"
表虚感冒颗粒,"['桂枝', '白芍', '生姜', '大枣', '葛根', '苦杏仁']"
桑菊感冒颗粒,"['桑叶', '菊花', '薄荷油', '苦杏仁', '桔梗', '连翘', '芦根', '甘草']"
调胃消滞丸,"['厚朴', '羌活', '广东神曲', '枳壳', '香附', '防风', '前胡', '川芎', '白芷', '薄荷', '砂仁', '草果', '木香', '豆蔻', '茯苓', '苍术', '广藿香', '甘草', '紫苏叶']"
榄葱茶,"['青果', '紫苏叶', '生姜', '葱头']"
风寒感冒颗粒,"['麻黄', '葛根', '紫苏叶', '防风', '桂枝', '白芷', '苦杏仁', '桔梗', '甘草', '干姜']"
伤风停胶囊,"['麻黄', '荆芥', '白芷', '苍术', '甘草']"
解表追风丸,"['荆芥', '防风', '紫苏叶', '白芷', '香附', '细辛', '荜茇', '广藿香', '冰片', '柴胡', '雄黄', '砂仁', '薄荷', '丁香', '豆蔻', '独活', '甘草', '川芎', '天花粉', '朱砂', '天麻', '檀香']"
