名字,产地省份
半夏,"['北京', '天津', '河北', '山西', '辽宁', '吉林', '黑龙江', '上海', '江苏', '浙江', '安徽', '福建', '江西', '山东', '河南', '湖北', '湖南', '广东', '广西', '海南', '重庆', '四川', '贵州', '云南', '陕西', '甘肃', '青海', '宁夏', '台湾', '香港', '澳门', '北京', '天津', '河北', '山西', '内蒙古', '辽宁', '吉林', '黑龙江', '上海', '江苏', '浙江', '安徽', '福建', '江西', '山东', '河南', '湖北', '湖南', '广东', '广西', '海南', '重庆', '四川', '贵州', '云南', '西藏', '陕西', '甘肃', '青海', '宁夏', '新疆', '台湾', '香港', '澳门']"
鱼胆草,"['浙江', '安徽', '湖北', '湖南', '四川', '云南']"
路路通,"['上海', '江苏', '浙江', '安徽', '福建', '江西', '山东', '广东', '广西', '海南', '重庆', '四川', '贵州', '云南', '西藏']"
党参,"['湖北', '湖南', '四川', '贵州']"
胆木,"['湖南', '广东', '广西', '海南']"
山姜,"['浙江', '福建', '江西', '湖北', '湖南', '广东', '广西', '四川', '贵州', '台湾']"
藤黄,"['重庆', '四川', '贵州', '云南', '西藏']"
肉豆蔻,[]
山萸肉,"['山西', '山东', '陕西']"
萝藦,"['河南', '湖北', '湖南', '贵州', '陕西', '甘肃', '上海', '江苏', '浙江', '安徽', '福建', '江西', '山东', '北京', '天津', '河北', '山西', '内蒙古', '辽宁', '吉林', '黑龙江']"
乌桕子,"['江苏', '安徽', '江西', '山东', '广东', '广西']"
一点红,"['福建', '江西', '湖南', '广东', '广西', '贵州', '云南']"
醉鱼草,"['浙江', '湖南', '江西', '福建', '云南', '贵州', '四川', '重庆', '广西', '广东', '海南']"
铁苋,"['台湾', '广东', '广西', '海南', '重庆', '四川', '贵州', '云南', '西藏', '北京', '天津', '河北', '山西', '内蒙古', '辽宁', '吉林', '黑龙江']"
八角莲,"['浙江', '安徽', '福建', '江西', '湖北', '湖南', '广东', '广西', '四川', '贵州', '西藏', '陕西', '台湾']"
海马,[]
九节菖蒲,"['山西', '河南', '湖北', '陕西', '重庆', '四川', '贵州', '云南', '西藏']"
黄芪,"['河北', '内蒙古', '辽宁', '吉林', '黑龙江']"
防风草,"['广东', '广西', '贵州', '云南']"
豆蔻,['海南']
地稔根,['广东']
罗汉果,"['江西', '广东', '广西']"
血风藤,"['福建', '广东', '广西', '台湾']"
丁公藤,"['广东', '海南', '云南']"
东风橘,"['广东', '广西', '海南']"
楤木,[]
大飞扬草,"['福建', '广东', '广西']"
何首乌,"['江苏', '河南', '广东', '广西', '贵州']"
走马箭,"['江西', '广东', '广西']"
穿心莲,"['福建', '江西', '湖南', '广东', '广西', '四川']"
黄精,"['浙江', '陕西', '宁夏', '北京', '天津', '河北', '山西', '内蒙古', '辽宁', '吉林', '黑龙江']"
赤小豆,"['广东', '广西']"
方解石,"['河北', '江苏', '浙江', '安徽', '江西', '河南', '湖北', '湖南', '广东', '广西', '四川', '贵州', '西藏', '甘肃', '青海', '新疆']"
半枫荷,"['福建', '广东', '广西', '海南', '台湾']"
白花蛇舌草,"['广东', '广西', '海南']"
槟榔,"['福建', '广东', '广西', '海南', '台湾']"
草豆蔻,"['广东', '广西', '海南']"
布渣叶,"['广东', '广西', '海南', '云南']"
当归,"['四川', '贵州', '云南', '陕西', '甘肃', '青海', '宁夏']"
牡蛎,"['河北', '辽宁', '山东', '北京', '天津', '河北', '山西', '内蒙古', '辽宁', '吉林', '黑龙江', '上海', '江苏', '浙江', '安徽', '福建', '江西', '山东', '河南', '湖北', '湖南', '广东', '广西', '海南', '重庆', '四川', '贵州', '云南', '西藏', '陕西', '甘肃', '青海', '宁夏', '新疆', '台湾', '香港', '澳门']"
沉香,"['广东', '广西', '海南', '台湾']"
人参,"['辽宁', '吉林', '黑龙江']"
牛大力,[]
大风艾,"['福建', '广东', '广西', '海南', '贵州', '云南', '台湾']"
白鹤灵芝,"['福建', '广东', '广西']"
南板蓝根,"['福建', '广东', '四川']"
马齿苋,"['北京', '天津', '河北', '山西', '内蒙古', '辽宁', '吉林', '黑龙江', '上海', '江苏', '浙江', '安徽', '福建', '江西', '山东', '河南', '湖北', '湖南', '广东', '广西', '海南', '重庆', '四川', '贵州', '云南', '西藏', '陕西', '甘肃', '青海', '宁夏', '新疆', '台湾', '香港', '澳门']"
山大颜,"['重庆', '四川', '贵州', '云南', '西藏']"
丁香,[]
雷公藤,"['浙江', '福建', '广东', '台湾']"
榼藤子,"['福建', '广东', '广西', '海南', '云南', '台湾']"
降香,"['海南', '云南']"
海金沙,"['陕西', '甘肃', '浙江', '湖南', '江西', '福建', '云南', '贵州', '四川', '重庆', '广西', '广东', '海南']"
玉叶金花,"['浙江', '湖南', '江西', '福建', '云南', '贵州', '四川', '重庆', '广西', '广东', '海南']"
五味子,"['河北', '山西', '内蒙古', '辽宁', '吉林', '黑龙江', '陕西']"
岗梅根,"['福建', '湖南', '广东', '海南', '台湾']"
番石榴叶,"['广东', '广西', '海南']"
桉叶油,"['福建', '广东', '广西', '云南']"
木瓜,"['广东', '广西', '四川', '贵州']"
紫苏叶,"['北京', '天津', '河北', '山西', '内蒙古', '辽宁', '吉林', '黑龙江', '上海', '江苏', '浙江', '安徽', '福建', '江西', '山东', '河南', '湖北', '湖南', '广东', '广西', '海南', '重庆', '四川', '贵州', '云南', '西藏', '陕西', '甘肃', '青海', '宁夏', '新疆', '台湾', '香港', '澳门']"
扶芳藤,"['上海', '江苏', '浙江', '安徽', '福建', '江西', '山东', '广东', '广西', '海南', '重庆', '四川', '贵州', '云南', '西藏', '北京', '天津', '河北', '山西', '内蒙古']"
白屈菜,"['江苏', '山东', '辽宁', '吉林', '黑龙江']"
水翁花,[]
飞天蠄蟧,"['广东', '广西', '四川', '贵州']"
仙人掌,"['浙江', '福建', '江西', '广东', '广西', '海南', '重庆', '四川', '贵州', '云南', '西藏']"
吉祥草,"['重庆', '四川', '贵州', '云南', '西藏', '浙江', '湖南', '江西', '福建', '云南', '贵州', '四川', '重庆', '广西', '广东', '海南']"
四块瓦,"['浙江', '湖北', '湖南', '四川']"
臭牡丹,"['河北', '山西', '河南', '湖北', '湖南', '陕西']"
苏合香,[]
全蝎,"['河北', '辽宁', '江苏', '福建', '山东', '河南', '台湾']"
