名字,药性,药味
半夏,温性,辛味
鱼胆草,凉性,苦味
路路通,平性,苦味
党参,平性,甘味
胆木,寒性,苦味
山姜,温性,辛味
藤黄,寒性,酸味
肉豆蔻,温性,辛味
山萸肉,温性,酸味
萝藦,平性,甘味
乌桕子,凉性,甘味
一点红,凉性,苦味
醉鱼草,温性,苦味
铁苋,凉性,苦味
八角莲,凉性,苦味
海马,温性,甘味
九节菖蒲,温性,辛味
黄芪,温性,甘味
防风草,温性,苦味
豆蔻,温性,辛味
地稔根,平性,甘味
罗汉果,凉性,甘味
血风藤,温性,甘味
丁公藤,温性,辛味
东风橘,温性,苦味
楤木,平性,甘味
大飞扬草,寒性,辛味
何首乌,温性,甘味
走马箭,温性,甘味
穿心莲,寒性,苦味
黄精,平性,甘味
赤小豆,平性,甘味
方解石,寒性,苦味
半枫荷,温性,甘味
白花蛇舌草,凉性,甘味
槟榔,温性,苦味
草豆蔻,温性,辛味
布渣叶,寒性,甘味
当归,温性,甘味
牡蛎,寒性,咸味
沉香,温性,苦味
人参,温性,甘味
牛大力,平性,甘味
大风艾,温性,苦味
白鹤灵芝,平性,甘味
南板蓝根,寒性,苦味
马齿苋,寒性,酸味
山大颜,凉性,苦味
丁香,温性,辛味
雷公藤,凉性,苦味
榼藤子,平性,甘味
降香,温性,辛味
海金沙,寒性,甘味
玉叶金花,凉性,甘味
五味子,温性,甘味
岗梅根,凉性,甘味
番石榴叶,平性,甘味
桉叶油,平性,苦味
木瓜,温性,酸味
紫苏叶,温性,辛味
扶芳藤,温性,苦味
白屈菜,温性,苦味
水翁花,寒性,苦味
飞天蠄蟧,平性,苦味
仙人掌,寒性,苦味
吉祥草,凉性,甘味
四块瓦,温性,苦味
臭牡丹,平性,苦味
苏合香,温性,辛味
全蝎,平性,辛味
扶桑花,寒性,甘味
土大黄,凉性,苦味
阿胶,平性,甘味
生姜,温性,辛味
独脚金,平性,甘味
川续断,温性,苦味
土茯苓,平性,甘味
海风藤,温性,苦味
猪胆粉,寒性,苦味
独一味,平性,甘味
苦玄参,寒性,苦味
板蓝根,寒性,苦味
凤眼草,寒性,苦味
红药子,凉性,苦味
地榆,寒性,苦味
山胡椒,温性,辛味
红花龙胆,寒性,苦味
甘草,平性,甘味
鼠尾草,平性,苦味
太白花,平性,淡味
澄茄子,温性,苦味
豆豉姜,温性,苦味
丹参,寒性,苦味
罗勒,温性,辛味
鸡骨香,温性,苦味
岩黄连,凉性,苦味
穿山甲,寒性,咸味
海芋,寒性,辛味
粉葛,凉性,甘味
白苏子,温性,辛味
救必应,寒性,苦味
淫羊藿,温性,甘味
白芥子,温性,辛味
片姜黄,温性,苦味
水飞蓟,寒性,苦味
使君子,温性,甘味
青羊参,温性,甘味
翠云草,凉性,甘味
粉萆薢,平性,苦味
雪上一枝蒿,温性,苦味
鸡眼草,凉性,苦味
问荆,平性,苦味
马桑根,凉性,苦味
白石英,温性,甘味
苦石莲,寒性,苦味
萝芙木,寒性,苦味
龙葵,寒性,苦味
赤石脂,温性,甘味
珠子参,寒性,甘味
牛至,凉性,苦味
石南藤,温性,辛味
毛诃子,平性,甘味
紫苏梗,温性,辛味
黄藤,寒性,苦味
辟汗草,凉性,苦味
白兰花,温性,苦味
华山参,热性,甘味
石上柏,凉性,甘味
三分三,温性,苦味
忍冬藤,寒性,甘味
甘松,温性,甘味
竹节参,温性,甘味
草乌叶,平性,辛味
檵木叶,凉性,苦味
佛甲草,寒性,甘味
龟甲,寒性,甘味
无根藤,凉性,淡味
广东刘寄奴,温性,苦味
马蹄金,凉性,苦味
胆矾,寒性,辛味
缬草,平性,甘味
辣椒,热性,辛味
燕窝,平性,甘味
鸡内金,平性,甘味
金丝草,凉性,甘味
芫荽子,平性,辛味
土贝母,寒性,苦味
沙苑子,温性,甘味
大青盐,寒性,咸味
贯叶金丝桃,寒性,辛味
紫石英,温性,甘味
天山雪莲,温性,苦味
绵马贯众,寒性,苦味
黑种草子,温性,甘味
凤眼果,平性,甘味
杜仲叶,温性,辛味
蜘蛛香,温性,苦味
蓝布正,凉性,甘味
灯盏细辛,温性,苦味
金铁锁,温性,苦味
莲子心,寒性,苦味
巫山淫羊藿,温性,甘味
阿魏,温性,苦味
青叶胆,寒性,甘味
西青果,平性,甘味
关黄柏,寒性,苦味
龙涎香,温性,甘味
山麦冬,寒性,甘味
相思子,平性,苦味
白药子,凉性,苦味
红粉,热性,辛味
翼首草,寒性,苦味
铁皮石斛,寒性,甘味
三棵针,寒性,苦味
橘核,平性,苦味
白首乌,平性,甘味
柴胡,寒性,苦味
猫爪草,温性,甘味
莲房,温性,苦味
穿破石,凉性,苦味
九龙藤,温性,甘味
八角枫,温性,苦味
三棱,平性,苦味
土木香,温性,苦味
北豆根,寒性,苦味
西洋参,凉性,甘味
金银花,寒性,甘味
狗肾,温性,咸味
三七,温性,甘味
干姜,热性,辛味
白头翁,寒性,苦味
土党参,平性,甘味
玄参,寒性,甘味
鸡蛋花,平性,甘味
大黄,寒性,苦味
千日红,平性,甘味
夏天无,温性,苦味
岩参,平性,辛味
白石花,凉性,甘味
寄生黄,寒性,苦味
透骨香,温性,辛味
冬葵子,寒性,甘味
紫草茸,平性,甘味
峨参,温性,甘味
灵香草,平性,甘味
臭灵丹草,凉性,苦味
两头尖,热性,辛味
太白参,温性,甘味
龙骨,平性,甘味
爬山虎,温性,辛味
桃枝,平性,苦味
硇砂,温性,苦味
海参,平性,甘味
藿香,温性,辛味
盘龙七,平性,苦味
紫梢花,温性,甘味
臭梧桐,平性,甘味
六月寒,平性,苦味
六棱菊,温性,苦味
岩椒草,凉性,苦味
凤凰衣,平性,甘味
透骨草,温性,辛味
太白米,温性,苦味
椒目,温性,苦味
紫贝齿,平性,咸味
槐枝,平性,苦味
硼砂,凉性,甘味
阴香皮,温性,甘味
桂皮,温性,甘味
玄明粉,寒性,辛味
红曲,温性,甘味
双参,温性,苦味
黑豆,平性,甘味
一支箭,寒性,甘味
虻虫,凉性,苦味
桑枝,平性,苦味
海浮石,寒性,咸味
茯神,平性,甘味
春不见,寒性,甘味
瓜蒌,寒性,甘味
八楞木,平性,苦味
暴马丁香,寒性,苦味
一点血,寒性,甘味
七叶莲,温性,苦味
石吊兰,温性,苦味
当药,寒性,苦味
杜仲,温性,甘味
红参,温性,甘味
熟地黄,温性,甘味
炙黄芪,温性,甘味
炙甘草,温性,甘味
天南星,温性,苦味
赭石,寒性,苦味
青礞石,平性,淡味
磁石,寒性,咸味
滑石,寒性,甘味
琥珀,平性,甘味
硫黄,温性,酸味
雄黄,温性,辛味
禹余粮,寒性,甘味
钟乳石,温性,甘味
炉甘石,平性,甘味
花蕊石,平性,酸味
阳起石,温性,咸味
自然铜,平性,辛味
朱砂,寒性,甘味
芒硝,寒性,苦味
白矾,寒性,酸味
石膏,寒性,甘味
紫河车,温性,甘味
麝香,温性,辛味
鳖甲,寒性,咸味
