链接,名字,组成,用法,功效,主治
http://www.zhongyoo.com/fangji/hpqwt_12654.html,厚朴七物汤,组成厚朴半斤(15克)，甘草、大黄各三两(各9克)，大枣十枚(4枚)，枳实五枚(9克)，桂枝二两(6克)，生姜五两(12克)。,用法上七味，以水一斗，煮取四升，温服八合，日三服。呕者加、半夏五合，下利去大黄，寒多者加生姜至半斤。现代用法：水煎温服。,解肌发表，行气通便。,外感表证未罢，里实已成，症见腹满发热，大便不通，脉浮而数。
http://www.zhongyoo.com/fangji/gzrct_13573.html,桂枝人参汤,配方组成桂枝别切，四两(12g)；甘草炙，四两(12g)；白术三两(9g)；人参三两(9g)；干姜三两(9g)。,用法用量上五味，以水九升，先煮四味，取五升，内桂，更煮取三升，去滓。温服一升，日再夜一服。,温补中气，解肌散邪。,太阳病，外证未除，而数下之，遂协热下利，利下不止，心下痞硬，表里不解者。
http://www.zhongyoo.com/fangji/wtgzt_13572.html,乌头桂枝汤,配方组成乌头五枚(10g)；桂枝去皮，三两(9g)；芍药三两(9g)；甘草炙，二两(6g)；生姜切，三两(9g)；大枣十二枚。,用法用量上一味(乌头)，以蜜二升，煎减半，去滓。以桂枝汤五合解之，得一升后，初服二合，不知，即服三合；又不知，复加至五合。其知者，如醉状，得吐者，为中病。,温中逐寒，解肌散邪。,寒疝腹中痛，逆冷，手足不仁，若身疼痛，灸刺诸药不能治;贼风入腹，攻刺五脏，拘急不得转侧，呼叫发作，有时使人阴缩。
http://www.zhongyoo.com/fangji/mhlqcxdt_13567.html,麻黄连翘赤小豆汤,配方组成麻黄去节，二两(6g);连翘二两(6g);杏仁皮尖，四十个(7g);赤小豆一升(24g);大枣擘，十二枚;生梓白皮切，一升(24g);生姜切，二两(6g);甘草炙，二两(6g)。,用法用量上八味，以潦水一斗，先煮麻黄，再沸，去上沫，内诸药，煮取三升，去滓。分温三服，半日服尽。,解表散邪，清热利湿。,湿热蕴郁于内，外阻经络肌肤之病候。
http://www.zhongyoo.com/fangji/wgt_13562.html,文蛤汤,配方组成文蛤五两(15g)、麻黄三两(9g)、甘草三两(9g)、生姜三两(9g)、石膏五两(15g)、杏仁五十个(8.5g)、大枣十二枚。,用法用量上七味，以水六升，煮取二升。温服一升，汗出即愈。,解表散邪，清胃止渴。,吐后渴欲得水而贪饮者;兼主微风，脉紧头痛。
http://www.zhongyoo.com/fangji/chgzt_13561.html,柴胡桂枝汤,配方组成桂枝去皮，一两半(4.5g)；黄芩一两半(4.5g)；芍药一两半 (4.5g)；人参一两半(4.5g)；甘草炙，一两(3g)；半夏洗，二合半(6g)；大枣擘，六枚；生姜切，一两半(4.5g)；柴胡四两(12g)。,用法用量上九味，以水七升，煮取三升，去滓。温服一升。本云：人参汤，作如桂枝法，加半夏、柴胡、黄芩，复如柴胡法，今用人参作半剂。,解肌散邪，清热调气。,外感风寒，发热自汗，微恶寒，或寒热往来，鼻鸣干呕，头痛项强，胸胁痛满，脉弦或浮大。
http://www.zhongyoo.com/fangji/ywgds_13560.html,一物瓜蒂散,配方组成瓜蒂二十个(6g)。,用法用量上锉，以水一升，煮取五合，去滓。顿服。,清热祛湿，散水和卫。,暑湿营卫不和证。身热，身疼且重，脉弱。
http://www.zhongyoo.com/fangji/wgs_13559.html,文蛤散,配方组成文蛤五两(15g)。,用法用量上一味，为散，以沸汤和方寸匕服。汤用五合。,清热利湿，调和营卫。,营卫湿热证。伤寒病在阳，应以汗解之，反以冷水潠之，若灌之，其热被劫不得去，弥更益烦，肉上粟起，意欲饮水反不渴者;渴欲饮水不止者。
http://www.zhongyoo.com/fangji/hcsygzkjt_13558.html,黄芪芍药桂枝苦酒汤,配方组成黄芪五两(15g)，芍药三两(9g)，桂枝三两(9g)。,用法用量上三味，以苦一升，水七升，相和，煮取三升，温服一升。当心烦，服全六七日乃解。若心烦不止者，以苦酒阻故也。,温阳益气，清化湿邪。,黄汗，身体肿，发热；汗出而渴，状如风水，汗沾衣，色正黄如柏汁，脉自沉。。
http://www.zhongyoo.com/fangji/bhjgzt_13555.html,白虎加桂枝汤,配方组成知母六两(18g)；石膏碎，一斤(48g)；甘草炙，二两(6g)；粳米六合(18g)；桂枝去皮，三两(9g)。,用法用量上锉，每五钱，水一盏半，煎至八分，去滓。温服，汗出愈。,解肌调荣，清热通络。,温疟，其脉如平，身无寒但热，骨节疼烦，时呕，风湿热痹，壮热汗出，气粗烦躁，关节肿痛，口渴苔白，脉弦数。
http://www.zhongyoo.com/fangji/mhxryygct_12600.html,麻黄杏仁薏苡甘草汤,组成麻黄半两(6克)、杏仁1个(6克)、薏苡仁半两(12克)、甘草一两(3克)。,用法水煎，温服。有微汗，避风。,发汗解表，祛风除湿。,风湿在表，湿郁化热证，症见一身尽疼，午后发热加剧，脉浮数，舌苔薄腻。
http://www.zhongyoo.com/fangji/mhjst_13554.html,麻黄加术汤,配方组成麻黄去节，三两(9克)；桂枝去皮，二两(6克)；甘草炙，一两(3克)；杏仁去皮尖，七十个(12克)；白术四两(12克)。,用法用量上五味，以水九升，先煮麻黄，减二升，去上沫，内诸药，煮取二升半，去滓。温服八合，覆取微似汗。,解表散寒，除湿止痛。,外感寒湿，恶寒发热，身体烦疼，无汗不渴，饮食无味，苔白腻，脉浮紧者。
http://www.zhongyoo.com/fangji/gzeybyt_13553.html,桂枝二越婢一汤,配方组成桂枝去皮，十八铢(2.3g);芍药十八铢(2.3g);麻黄十八铢(2.3g);甘草炙，十八铢(2.3g);大枣擘，四枚;生姜切，一两二铢(3.3g);石膏碎，绵裹，一两(3g)。,用法用量上七味，以水五升，煮麻黄一二沸，去上沫，内诸药，煮取二升，去滓。温服一升。本云：当裁为越婢汤、桂枝汤合之，饮一升。今合为一方，桂枝汤二分，越婢汤一分。,解表散邪，燮理营卫。,太阳病，发热恶寒，脉微弱者。
http://www.zhongyoo.com/fangji/gzmhgbt_13552.html,桂枝麻黄各半汤,配方组成桂枝(去皮)，一两十六铢(5.2克);芍药、生姜(切)、甘草(炙)、麻黄(去节)各一两(3克);大枣(擘)，四枚;杏仁(汤渍，去皮尖及两仁者)，二十四枚(4克)。,用法用量上七味，以水五升，先煮麻黄一二沸，去上沫，内诸药，煮取一升八合，去滓。温服六合。本云：桂枝汤三合，麻黄汤三合，并为六合。顿服，将息如上法。,解表散邪，小发其汗。,太阳病，得之八九日，如疟状，发热恶寒，热多寒少，其人不呕，清便欲自可，一日二三度发，面色反有热色，身痒者。
http://www.zhongyoo.com/fangji/gzemhyt_13551.html,桂枝二麻黄一汤,配方组成桂枝去皮，一两十七铢(5.4克);芍药一两六铢(3.7克);麻黄去节，十六铢(2.1克);生姜切，一两六铢(3.7克);杏仁去皮尖，十六个(2.5克);甘草炙，一两二铢(3.2克);大枣擘，五枚。,用法用量上七味，以水五升，先煮麻黄一二沸，去上沫，内诸药，煮取二升，去滓。温服一升，日再服。本云：桂枝汤二分，麻黄汤一分，合为二升，分再服。今合为一方，将息如前法。,解肌散邪，小和营卫。,太阳病，服桂枝汤，大汗出，脉洪大，形似疟，一日再发者。
http://www.zhongyoo.com/fangji/xys_558.html,逍遥散,组成用法甘草(微炙赤)，半两(15克)；当归(去苗，锉，微炒)、茯苓(去皮白者)、白芍、白术、柴胡(去苗)，各一两(各30克)；加煨姜、薄荷少许共煎汤，温服。,组成用法甘草(微炙赤)，半两(15克)；当归(去苗，锉，微炒)、茯苓(去皮白者)、白芍、白术、柴胡(去苗)，各一两(各30克)；加煨姜、薄荷少许共煎汤，温服。,疏肝解郁，养血健脾。主治肝郁血虚脾弱证。两胁作痛，头痛目眩，口燥咽干，神疲食少，或往来寒热，或月经不调，乳房胀痛，舌质淡红，脉弦而虚者。,疏肝解郁，养血健脾。主治肝郁血虚脾弱证。两胁作痛，头痛目眩，口燥咽干，神疲食少，或往来寒热，或月经不调，乳房胀痛，舌质淡红，脉弦而虚者。
http://www.zhongyoo.com/fangji/gxzyt_12794.html,膈下逐瘀汤,组成五灵脂(6克)，川芎(6克)、桃仁、红花各半两(各9克)，生地四钱(12克)，当归、赤芍、枳壳、桔梗、甘草各二钱(各6克)，柴胡、玄参各一钱(各6克)。,用法水煎服，每日2次。,逐瘀消瘤，行气止痛。,瘀在膈下，形成积块，痛处不移，卧则腹坠等症。
http://www.zhongyoo.com/fangji/jsgjw_1052.html,金锁固精丸,配方组成沙苑、蒺藜(去皮、炒)、芡实(蒸)、莲须各二两(各60克)；龙骨酥炙；牡蛎(盐水煮一日一夜，煅粉)各一两(各30克)。,用法用量共为细末，莲子粉糊为丸，每服9克，每日2次，淡盐汤送服。现代用法：加入莲子肉，水煎分服，剂量按原剂量比例酌减。,补肾涩精。,肾虚不固之遗精证。遗精滑泄，神疲乏力，四肢酸软，腰痛耳鸣，舌淡苔白，脉细弱。
http://www.zhongyoo.com/fangji/flxrgct_13518.html,茯苓杏仁甘草汤,配方组成茯苓三两(9克)，杏仁五十个(8.5克)，甘草一两(3克)。,用法用量上三味，以水一斗，煮取五升。温服一升，日三服。不差，更服。,通阳化饮，宣导气机。,胸痹，胸中气塞，短气。湿温，两胫逆冷，胸满头眩重疼，妄言多汗，其脉阳濡而弱，阴小而急。
http://www.zhongyoo.com/fangji/zsxbgzt_13517.html,枳实薤白桂枝汤,配方组成枳实四枚(4克)，厚朴四两(12克)，薤白半斤(24克)，桂枝一两(3克)，栝楼实(捣)一枚(15克)。,用法用量上五味，以水五升，先煮枳实、厚朴，取二升，去滓。内诸药，煮数沸，分温三服。,通阳行气，宽胸化痰。,胸痹心中痞，留气结在胸，胸满，胁下逆抢心，气郁痰阻胸痹证。
http://www.zhongyoo.com/fangji/swbs_13516.html,三物白散,配方组成桔梗三分(9克)；巴豆去皮尖，熬黑，研如脂，一分(3克)；贝母三分(9克)。,用法用量上三味，为散，内巴豆，更于臼中杵之，与白饮和服。强人半钱匕，赢者减之。病在膈上必吐，在膈下必利，不利，进热粥一杯，利过不止，进冷粥一杯。身热皮粟不解，欲引衣自覆，若以水潠之、洗之，益令热劫不得出，当汗而不汗，则烦。假令汗出已，腹中痛，与芍药三两，如上法。。,温逐寒饮，除痰散结。,饮结胸证，肺脓肿、肺间质纤维化、支气管炎、哮喘、肾病综合征等临床表现符合寒饮结胸证者。
http://www.zhongyoo.com/fangji/tlw_13511.html,葶苈丸,配方组成葶苈子二斤(100克)(注：仲景原书无用量，此处为后人所加)。,用法用量上一味，捣碎，以蜜为丸，共为二十丸，温服一丸，日三服。,泻肺消肿。,肺脾水肿证，脉浮或沉者。
http://www.zhongyoo.com/fangji/xzt_13510.html,杏子汤,配方组成杏仁五两(15克)(注：仲景原书无用量，此处为后人所加)。,用法用量上一味，以水八升，煮取三升，温分三服。,温肺降逆，通利水道。,肺痰饮水气证，脉浮或沉或滑者。
http://www.zhongyoo.com/fangji/zqt_13509.html,泽漆汤,配方组成半夏半升(12克)；紫参(一作紫菀)五两(15克)；泽漆(以东流水五斗，煮取一斗五升)三斤(150克)；生姜五两(15克)；白前五两(15克)；甘草、黄芩、人参、桂枝各三两(9克)。,用法用量上九味药，㕮咀，内泽漆汁中，煮取五升，温服五合，至夜尽。,清热益肺，化饮宽胸。,水饮内停，咳而脉沉者。
http://www.zhongyoo.com/fangji/snt_568.html,四逆汤,配方组成附子一枚，生用，去皮，破八片(12克)；干姜一两半(9克)；甘草二两，炙(6克)。,用法用量上三味，以水三升，煮取一升二合，去滓，分温再服。强人可大附子一枚，干姜三两。现代用法：水煎服。,回阳救逆。,心肾阳衰寒厥证。四肢厥冷，恶寒蜷卧，神疲欲寐，下利清谷，呕吐腹痛，舌苔白滑，脉沉细；或太阳病误汗亡阳。
http://www.zhongyoo.com/fangji/sms_12459.html,生脉散,配方组成麦门冬、人参、五味子。,用法用量水煎服。原方无剂量，按常规剂量酌定。口服液：口服，1次10毫升，每日3次。注射液：静脉滴注，1次20～60毫升，用5%葡萄糖注射液250～500毫升稀释后使用，或遵医嘱，供心肌梗死、心源性休克、感染性休克等急重病应用。,益气生津，敛阴止汗。,①久咳伤肺，气阴两虚证，症见干咳少痰，短气自汗，口干舌燥，脉虚细。②暑热耗气伤阴证，症见汗多神疲，体倦乏力，气短懒言，咽干口渴，舌干红少苔，脉虚数。
http://www.zhongyoo.com/fangji/lss_12458.html,六神散,配方组成人参、白茯苓、干山药、白术、白扁豆、炙甘草。,用法用量上药各等分，研为粗末，枣1个，生姜2片，同煎。亦可改作汤剂水煎服。,补中益气，化湿和胃。,主治脾胃虚弱，津气不足。症见食少便溏，虚乏身热，舌淡，苔白或白腻，脉细等。。
http://www.zhongyoo.com/fangji/qwbss_12457.html,七味白术散,配方组成人参二钱五分(7.5克)、白茯苓五钱(15克，炒)、白术五钱(15克)、藿香叶五钱(15克)、木香二钱(6克)、甘草一钱(3克)、葛根五钱，渴者加一两(15～30克)。,用法用量上㕮咀，每服三钱(9克)，水煎服。,健脾养胃，益气生津。,主治小儿脾胃虚弱，清阳不升，乳食少进，呕吐泄泻，烦渴饮水，赢困少力，舌质淡，苔薄白，脉细弱。
http://www.zhongyoo.com/fangji/zsw_12456.html,资生丸,组成人参三两(90克，人乳浸，饭上蒸，烘干)、白术三两(90克)、白茯苓一两半(45克，细末，水澄，蒸，晒干，入人乳再蒸，晒干)、广陈皮二两(60克，去白，略蒸)、山楂二两(60克，肉蒸)、甘草五钱(15克，去皮，蜜炙)、怀山药一两五钱(45克，切片，炒)、川黄连三钱(9克，如法炒七次)、薏苡仁一两半(45克，炒三次)、白扁豆一两半(45克，炒)、白豆蔻仁三钱五分(10.5克，不可见火)、藿香叶五钱(15克、不见火)、莲肉一两五钱(45克，去心，炒)、泽泻三钱半(10.5克，切片，炒)、桔梗五钱(15克，米泔浸，去芦，蒸)、芡实粉一两五钱(45克，炒黄)、麦芽一两(30克，炒，研磨，取净面)。,用法上为细末，炼蜜为丸，如弹子大。每次一丸，重二钱(6克)，用白汤或清米汤、橘皮汤、炒砂仁汤嚼化下。现代浓缩丸用法：每次10丸，每日3次。,益气健脾，消食和胃，理气渗湿。,主治妊娠脾虚呕吐或滑胎不固，以及脾胃虚弱，食少便溏，脘腹作胀，恶心呕吐，消瘦乏力，舌质淡，脉濡弱。
http://www.zhongyoo.com/fangji/ypfs_546.html,玉屏风散,配方组成防风一两(30克)、黄芪蜜炙、白术各二两(各60克)。,用法用量上㕮咀，每服三钱(9克)，水一盏半，加大枣一枚，煎七分，去滓，食后热服。,益气固表止汗。,表虚自汗证。自汗恶风，面色咣白，舌淡苔白，脉浮缓，以及虚人易感风邪者。
http://www.zhongyoo.com/fangji/syywt_12451.html,升阳益胃汤,配方组成黄芪二两(30克)、半夏一两(15克)、人参一两(15克)、炙甘草一两(15克)、独活五钱(9克)、防风五钱(9克)、白芍五钱(9克)、羌活五钱(9克)、陈皮四钱(6克)、茯苓三钱(5克)、柴胡三钱(5克)、泽泻三钱(5克)、白术三钱(5克)、黄连一钱(1.5克)。,用法用量上为末，每服三钱至五钱(15克)，加生姜五片，大枣二枚，用水三盏，煎至一盏，去滓，早饭后温服。现代用法：水煎服，每日2次。,益气升阳，清热除湿。,主治脾胃气虚，湿热滞留中焦，症见饮食无味，脘腹胀满，怠惰嗜卧，四肢酸楚，口苦舌干，饮食无味.大便不调，小便频数，舌淡红，苔薄白，脉细弱。
http://www.zhongyoo.com/fangji/bzyqt_1390.html,补中益气汤,配方组成黄芪一钱(18克)；炙甘草五分(9克)；人参，去芦，三分(9克)；当归，酒焙干或晒干，二分(3克)；橘皮，不去白，二分或三分(6克)；升麻二分或三分(6克)；柴胡二分或三分(6克)；白术三分(9克)。,用法用量上呚咀，都作一服，水二盏，煎至一盏，去滓，食远稍热服。现代用法：水煎服。或作丸剂，每服10～15克，日2～3次，温开水或姜汤下。,补中益气，升阳举陷。,
http://www.zhongyoo.com/fangji/zgct_540.html,炙甘草汤,配方组成炙甘草四两(12克)；生姜，切，三两(9克)；人参二两(6克)；生地黄一斤(50克)；桂枝，去皮，三两(9克)；阿胶二两(6克)；麦门冬，去心，半升(10克)；麻仁半升(10克)；大枣，擘，三十枚(10枚)。,用法用量上以清酒七升，水八升，先煮八味，取三升，去滓，内胶烊消尽，温服一升，日三服。现代用法：水煎服，阿胶烊化，冲服。,滋阴养血，益气复脉。,
http://www.zhongyoo.com/fangji/zyllt_12448.html,拯阳理劳汤,配方组成人参二钱(6克)、黄芪二钱(12克)、白术一钱(9克)、当归一钱(9克)、陈皮一钱(6克)、五味子四分(6克)、肉桂七分(6克)、炙甘草五分(6克)、生姜三片、红枣两枚。,用法用量水煎服，每日2次。,温补脾肺。,主治脾肺气虚，症见劳伤气耗，倦怠懒言，表热自汗，不思饮食，心烦，偏身作痛，舌淡嫩，脉细弱。
http://www.zhongyoo.com/fangji/byt_12447.html,保元汤,配方组成人参一钱(3克)、黄芪三钱(9克)、甘草一钱(3克)、肉桂五至七分(1.5～2克)。(原书无用量，今据《景岳全书》补),用法用量上加生姜一片，水煎，不拘时服。 现代用法：水煎服。,益气温阳。,主治虚损劳怯，元气不足。症见倦怠乏力，少气畏寒，以及小儿痘疮，阳虚顶陷，血虚浆清，难以收敛，舌淡苔脉，脉弱。
http://www.zhongyoo.com/fangji/hbyg_13425.html,黑布药膏,配方组成老黑醋五斤(2500克)，五倍子一斤十二两(860克)，金头蜈蚣10条，蜂蜜六两(180克)，梅花冰片一钱(3克)。,用法用量砂锅盛黑醋火上熬开30分钟，加入蜂蜜再熬至沸腾状，用铁筛将五倍子粉慢慢撒入，边撒边按同一方向搅拌，撒完后即改用文火熬成膏状离火;再兑入蜈蚣粉和梅花冰片粉搅匀即成。做成的黑布药膏质量要求光亮、黑润，储存在瓷罐或玻璃罐中备用(勿用金属器皿储存)。外涂此药时需2～3毫米厚(不要用金属器械涂药)，用黑布或厚布盖上，换药前清洁皮肤，2～3日换药1次。对于化脓性皮肤病，常与化毒散软膏各半调和外用。,破瘀软坚。,主治瘢痕疙瘩、疖、痈、毛囊炎初期、乳头状皮炎。
http://www.zhongyoo.com/fangji/dct_10170.html,独参汤,配方组成人参二两(30克)。,用法用量研为粗末，加大枣五枚，水煎服。急救则选用高丽白参或野山人参。,大补元气，救逆固脱。,主治元气大亏，阳气暴脱，症见面色苍白，肢冷千多，呼吸衰弱，脉微欲绝。
http://www.zhongyoo.com/fangji/xsljzt_4024.html,香砂六君子汤,配方组成人参一钱(3克)、白术二钱(6克)、茯苓二钱(6克)、炙甘草七分(2克)、陈皮八分(2.5克)、半夏一钱(3克)、木香七分(2克)、砂仁八分(2.5克)、生姜二钱(6克)。,用法用量水煎服，每日2次。制丸剂，每服6～9克。,功效益气化痰，理气畅中。,主治脾胃气虚，寒湿滞于中焦，症见脘腹胀满、疼痛，纳呆嗳气，呕吐泄泻，舌淡苔白，脉滑。
http://www.zhongyoo.com/fangji/ygs_3930.html,异功散,配方组成人参、白术、茯苓、炙甘草、陈皮等分(各6克)。,用法用量】研末，为散剂。每服6～9克，亦可用汤剂，各药用量按比例酌减。,益气健脾，行气化滞。,主治脾胃虚弱，症见食欲不振，胸脘痞闷，大便溏薄，消化不良或呕吐泄泻，舌淡苔白腻，脉虚。
http://www.zhongyoo.com/fangji/ljzt_12409.html,六君子汤,配方组成人参一钱(3克) ，白术一钱五分(4.5克)，茯苓一钱(3克)，炙甘草一钱(3克)，陈皮一钱(3克)，半夏一钱五分(4.5克)，大枣2枚，生姜3片。,用法用量水煎服，每日2次。制丸剂，每服6～9克。,健脾益气，和胃化痰。,主治脾胃虚弱，兼有痰湿，症见面色萎黄，呕恶不舒，咳嗽胸闷，痰多稀白，不思饮食，大便不实，舌淡苔白腻，脉虚。
http://www.zhongyoo.com/fangji/sjzt_559.html,四君子汤,配方组成人参去芦、白术、茯苓去皮(各9克)，甘草炙(6克)。,用法用量上为细末，每服二钱(15克)，水一盏，煎至七分，通口服，不拘时候；入盐少许，白汤点亦得。现代用法：水煎服。,益气健脾。,脾胃气虚证。面色萎白，语声低微，气短乏力，食少便溏，舌淡苔白，脉虚弱。
http://www.zhongyoo.com/fangji/dqlt_12601.html,大青龙汤,配方组成麻黄六两(12克)、桂枝二两(6克)、甘草二两(6克)、杏仁四十粒(6克)、石膏如鸡子大(18克)、生姜三两(9克)、大枣十二枚(3枚)。,用法用量上七味，用水900毫升，先煮麻黄，减200毫升，去上沫，纳诸药，煮取300毫升，去滓，温服100毫升。现代用法：水煎服。,发汗解表，兼清里热。,外感风寒，内有郁热证，症见恶寒发热，头身疼痛，无汗，烦躁，脉浮紧。亦治溢饮，症见身体疼重或四肢浮肿，恶寒身热，无汗，烦躁，脉浮紧。
http://www.zhongyoo.com/fangji/xqlt_557.html,小青龙汤,配方组成麻黄三两，去节(9克)；芍药三两(9克)；细辛三两(3克)；干姜三两(6克)；甘草三两，炙(6克)；桂枝去皮(6克)；五味子半升(6克)；半夏半升，洗(9克)。,用法用量上八味，以水一斗，先煮麻黄，减二升，去上沫，内诸药，煮取三升，去滓，温服一升。现代用法：水煎温服。,解表散寒，温肺化饮。,外寒内饮证。恶寒发热，无汗，头身疼痛，咳嗽气喘，痰多清稀，甚则咳喘不能平卧，或干呕，或头面四肢浮肿，舌苔白滑，脉浮。
http://www.zhongyoo.com/fangji/xbs_556.html,泻白散,配方组成地骨皮、桑白皮炒，各一两(各15克)；甘草炙，一钱(3克)。,用法用量上药锉散，入粳米一撮，水二小盏，煎七分，食前服。现代用法：水煎服。,清泻肺热，止咳平喘。,肺热咳喘证。气喘咳嗽，皮肤蒸热，日晡尤甚，舌红苔黄，脉细数。
