名字,组成
厚朴七物汤,"['厚朴', '甘草', '大黄', '大枣', '枳实', '桂枝', '生姜']"
桂枝人参汤,"['桂枝', '甘草炙', '白术', '人参', '干姜']"
乌头桂枝汤,"['乌头', '桂枝', '芍药', '甘草炙', '生姜', '大枣']"
麻黄连翘赤小豆汤,"['麻黄', '连翘', '杏仁尖', '赤小豆', '大枣擘', '生梓白', '生姜', '甘草炙']"
文蛤汤,"['文蛤', '麻黄', '甘草', '生姜', '石膏', '杏仁', '大枣']"
柴胡桂枝汤,"['桂枝', '黄芩', '芍药', '人参', '甘草炙', '夏洗', '大枣擘', '生姜', '柴胡']"
一物瓜蒂散,['瓜蒂']
文蛤散,['文蛤']
黄芪芍药桂枝苦酒汤,"['黄芪', '芍药', '桂枝']"
白虎加桂枝汤,"['知母', '石膏碎', '甘草炙', '粳米合', '桂枝']"
麻黄杏仁薏苡甘草汤,"['麻黄', '杏仁', '薏苡仁', '甘草']"
麻黄加术汤,"['麻黄', '桂枝', '甘草炙', '杏仁尖', '白术']"
桂枝二越婢一汤,"['桂枝', '芍药', '麻黄', '甘草炙', '大枣擘', '生姜', '石膏碎', '绵裹']"
桂枝麻黄各半汤,"['桂枝', '芍药', '生姜', '甘草', '麻黄', '大枣', '杏仁']"
桂枝二麻黄一汤,"['桂枝', '芍药', '麻黄', '生姜', '杏仁尖', '甘草炙', '大枣擘']"
逍遥散,"['用法甘草', '当归', '茯苓', '白芍', '白术', '柴胡', '煨姜', '薄荷少许共煎汤', '温服']"
膈下逐瘀汤,"['灵脂', '川芎', '桃仁', '红花', '生地', '当归', '赤芍', '枳壳', '桔梗', '甘草', '柴胡', '玄参']"
金锁固精丸,"['沙苑', '蒺藜', '芡实', '莲须', '龙骨酥炙', '牡蛎']"
茯苓杏仁甘草汤,"['茯苓', '杏仁', '甘草']"
枳实薤白桂枝汤,"['枳实', '厚朴', '薤白', '桂枝', '栝楼实']"
三物白散,"['桔梗', '巴豆尖', '熬黑', '研如脂', '贝母']"
葶苈丸,['葶苈子']
杏子汤,['杏仁']
泽漆汤,"['紫参', '泽漆', '生姜', '白前', '甘草', '黄芩', '人参', '桂枝']"
四逆汤,"['附子', '生用', '破片', '干姜', '甘草']"
生脉散,"['麦门冬', '人参', '味子']"
六神散,"['人参', '白茯苓', '干山药', '白术', '白扁豆', '炙甘草']"
七味白术散,"['人参', '白茯苓', '白术', '藿香叶', '木香', '甘草', '葛根', '渴者']"
资生丸,"['人参', '白术', '白茯苓', '广陈', '山楂', '甘草', '怀山药', '川黄连', '薏苡仁', '白扁豆', '白豆蔻仁', '藿香叶', '莲肉', '泽泻', '桔梗', '芡实粉', '麦芽']"
玉屏风散,"['防风', '黄芪蜜炙', '白术']"
升阳益胃汤,"['黄芪', '人参', '炙甘草', '独活', '防风', '白芍', '羌活', '茯苓', '柴胡', '泽泻', '白术', '黄连']"
