链接,中药名,别名,英文名,产地分布,性味归经,功效与作用,临床应用,图片,形态,使用禁忌
http://www.zhongyoo.com/name/banxia_984.html,半夏,三叶半夏、三步跳、麻芋子、水芋、地巴豆,Pinelliae Rhizoma。,生于山坡草地、荒地、包谷地、田边、河边及疏林下。除内蒙古、新疆、西藏外，全国各地均有分布。,温，味辛，有毒。归脾经、胃经、肺经,燥湿化痰、降逆止呕、消痞散结。属化痰止咳平喘药下属分类的温化寒痰药。,内服用量3～9克；或入丸、散；外用研末调敷。用治湿痰冷饮、呕吐、反胃、咳喘痰多、胸膈胀满、痰厥头痛、头晕不眠等。,http://www.zhongyoo.com//uploads/allimg/131207/1-13120F9504V92.jpg,多年生草本。块茎近球形。叶出自块茎顶端，在叶柄下部内侧生一白色珠芽；一年生的叶为单叶，卵状心形；2～3年后，叶为3小叶的复叶，小叶椭圆形至披针形，中间小叶较大，两侧的较小，先端锐尖，基部楔形，全缘，两面光滑无毛。肉穗花序顶生，花序梗常较叶柄长；佛焰苞绿色；花单性，无花被，雌雄同株；雄花着生在花序上部，白色，雄蕊密集成圆筒形，雌花着生于雄花的下部，绿色；花序中轴先端附属物延伸呈鼠尾状，直立伸出在佛焰苞外。浆果卵状椭圆形，绿色。花期5～7月，果期8～9月。,阴虚燥咳、津伤口渴、血证及燥痰者禁服，孕妇慎服。不宜与川乌、制川乌、草乌、制草乌、附子同用，生品内服宜慎
http://www.zhongyoo.com/name/yudancao_13537.html,鱼胆草,金盆、青鱼胆草、水灵芝、水黄连,拉丁文名：Herba Swertiae Davidi,生于海拔900～1200米的混交林下、河边、潮湿地。分布于浙江、安徽、湖北、湖南、四川、云南等地。,凉，味苦。归肺经、肝经、胆经,清热泻火，解毒利湿。属清热药下分类的清热泻火药。,煎汤内服，用量3～9克，或研末冲服。外用适量，捣敷。主治急性结膜炎，急性咽喉炎，扁桃体炎，胆囊炎，胃肠炎，细菌性痢疾，泌尿道感染、湿热黄疸，肺热咳嗽，带状疱疹，疥癣疮毒。,http://www.zhongyoo.com//uploads/allimg/2112/1-2112111GS6206.jpg,多年生草本，高15～50厘米。根纤细，呈明显黄色。茎直立，四棱形，棱上具狭翅，基部多分枝。单叶对生，基生叶及下部叶具柄，上部叶近于无柄；叶片条形、条状披针形至条状椭圆形，长1～5厘米，宽1～5毫米，先端渐尖或稍钝，边缘全缘略反卷，两面均为绿色。圆锥状复伞形花序，长达36厘米，稀为聚伞花序，花梗纤细；花萼4片，线状披针形；花蓝色或淡紫色，具蓝紫色脉纹；花瓣4裂，裂片卵形或卵状披针形，先端渐尖，花瓣内侧基部有2个腺体，腺体沟状，具长毛状流苏；雄蕊4，着生于花冠基部；子房狭椭圆形，无柄，花柱短，不明显，柱头2裂口蒴果椭圆形。花、果期9～11月,尚不明确
http://www.zhongyoo.com/name/lulutong_205.html,路路通,枫实、枫木上球、枫香果、枫果、枫树球、狼眼、九空子、狼目、聂子,Liquidambaris Fructus,生于平原及丘陵地带。分布于我国华东、华南、西南等地。,平，味苦。归肝经、肾经,祛风活络，利水通经。属祛风湿药下属分类的祛风湿强筋骨药。,用量5～9克，煎服。用治关节痹痛、麻木拘挛、水肿胀满、乳少经闭。,http://www.zhongyoo.com//uploads/allimg/140122/1-140122103013942.jpg,乔木，高达40米。树皮灰褐色，粗糙，有皮孔。单叶互生，叶片宽卵形，常3裂，幼枝及萌发枝的叶多为掌状5裂，上面深绿色，下面淡绿色；叶柄长3～7厘米；托叶线形，早落。花单性，雌雄同株；雄花为柔荑花序，无花被，雄蕊多数，花丝不等长；雌花为球形的头状花序，直径1.5厘米，有花23～43朵，花序梗长，萼齿5，钻形，无花瓣，子房半下位，2室，胚乳多数，花柱2，柱头弯曲。蒴果多数集生成头状球形果序，直径2.5～4.5厘米，表面有由宿存花柱及子房周围的苞片变成的刺状物，蒴果长椭圆形，下部藏于花序轴内，成熟时顶孔开裂。种子有发育不完全和发育完全两型，前者占多数，多角形，细小，黄棕色，后者长圆形而扁，具翅，褐色。花期3～4月，果期9～10月。,阴虚、月经过多及孕妇禁服
http://www.zhongyoo.com/name/dangcan_150.html,党参,条党、单枝党、板桥党、防党参、上党参、狮头参、中灵草、黄参,Codonopsis Radix。,生长于海拔900～2300米的林边灌木丛中，现有大量栽培。分布于湖北、湖南、四川、贵州等地。,平，味甘。归脾经、肺经,补中益气、健脾益肺。属补虚药下属分类的补气药。,用量9～30克，煎服；或熬膏、入丸、散。生津、养血宜生用；补脾益肺宜炙用。用治脾肺虚弱、气短心悸、食少便溏、虚喘咳嗽、内热消渴。,http://www.zhongyoo.com//uploads/allimg/131231/1-13123111430BQ.jpg,草质藤本。除叶片两面密被柔毛外，全体几近无毛。根常肥大肉质，呈纺锤状或纺锤状圆柱形，少分枝或中部以下略有分枝，表面灰黄色。茎缠绕多分枝。叶在主茎及侧枝上的互生，在小枝上的近于对生；叶片卵形、窄卵形或披针形，顶端钝或急尖，基部楔形或较圆钝，稀心形，上面绿色，下面灰绿色，边缘浅钝锯齿。花单生于枝端，与叶柄互生或近于对生；有花梗，花萼5深裂，仅基部与子房合生，长圆状披针形，先端急尖，微波状或近于全缘；花冠钟状，淡黄绿色内有紫斑，5浅裂，裂片近于正三角形；花丝基部微扩大；子房下位。种子多数，椭圆形，细小，棕黄色。花、果期7～10月。,实证、热证禁服；正虚邪实证，不宜单独应用，不宜与黎芦同用
http://www.zhongyoo.com/name/danmu_13530.html,胆木,山熊胆、熊胆树、细叶黄棵木、黄羊木、药乌檀、黄胆木、黄心木、树黄柏,拉丁语：Ramulus Naucleae；英文名：Medicinal Fatheadtree，Wood and root of Medicinal Fatheadtree,生于半山腰荫蔽潮湿地带的杂木林中。主产于广东、广西、海南、湖南等地。,寒，味苦。归肺经、大肠经,清热解毒，消肿止痛。属清热药下分类的清热解毒药。,煎汤内服，用量15～30克。外用适量，煎水洗。用治乳蛾，痢疾，热淋，下肢溃疡，疖肿脓疡，湿疹。,http://www.zhongyoo.com//uploads/allimg/2112/1-21121019112T27.jpg,乔木，高4～12米，小枝纤细而光滑。叶纸质，对生，椭圆形，稀倒圆形，长7～11厘米，宽3.5～5厘米。顶端渐尖而略钝，基部楔形，侧脉每边5～7对，纤细，向上斜伸，近边缘处连结，在叶片两边略凸起；叶柄长10～15厘米，稍粗壮；托叶早落，倒卵形，长6～10厘米，顶端钝圆。头状花序顶生，单生；总花梗长1～3厘米，中部以下有早落的苞片。小坚果合成一球状体，成熟时黄褐色，直径9～15厘米，表面粗糙。种子椭圆形，长1厘米，腹面平坦，背面拱起，种皮黑色有光泽并有微小窝孔。果期夏季。,尚不明确
http://www.zhongyoo.com/name/shanjiang_4134.html,山姜,和山姜、九姜连、姜叶淫羊藿、九龙盘、姜七、高良姜、鸡爪莲,Rhizoma Alpiniae Japonicae,生于林下阴湿处。主产于我国浙江、福建、江西、湖北、湖南、广东、广西、四川、贵州、台湾等地。,温，味辛。归肺经、胃经,温中，散寒，祛风，活血。属温里药。,内服：煎汤，用量5～10克。外用适量，捣敷或煎水洗。用于脘腹冷痛，风湿筋骨疼痛，劳伤吐血，跌损瘀滞，月经不调。,http://www.zhongyoo.com//uploads/allimg/2112/1-21120616012C93.jpg,多年生草本，高35～70厘米。根茎横生，分枝。叶片通常2～5片；近无柄至具长达2厘米的叶柄；叶舌2裂，长约2毫米，被短柔毛；叶片披针形，倒披针形或狭长椭圆形，长25～40厘米，宽4～7厘米，两端渐尖，先端具小尖头，两面被短柔毛。总状花序顶生，长15～30厘米，花序轴密生绒毛；花通常2朵聚生，小花梗长约2毫米；萼棒状，长1～1.2厘米，被短柔毛，先端3齿裂；花冠管长约1厘米，被疏柔毛，花冠裂片长圆形，长约1厘米，外被绒毛，后方的一枚兜状；侧生退化雄蕊线形，长约5毫米；唇瓣卵形，宽约6毫米，白色而具红色脉纹，先端2裂，边缘具不整齐缺刻；雄蕊长1. 2～1. 4厘米；子房密被绒毛。果球形或椭圆形，熟时橙红色，先端具宿存的萼筒；种子多角形，有味。花期4～8月，果期7～12月。,尚不明确
http://www.zhongyoo.com/name/tenghuang_13477.html,藤黄,玉黄、月黄,Gutii(Gambogia),生热带地区。分布于印度、泰国。我国南部及西南部地区亦产。,寒，味酸、涩。归胃经、大肠经,消肿排脓，散瘀解毒，杀虫止痒。属拔毒生肌药。,0.03～0.06克，炮制后入丸剂。外用：适量，研末调敷、磨汁涂搽或熬膏涂敷。用于痈疽肿毒。跌扑损伤；外用治顽癣。,http://www.zhongyoo.com//uploads/allimg/2112/1-2112011R1413b.jpg,常绿乔木，高约18米，小枝四棱形。叶对生，薄革质。椭圆状卵形或卵状披针形，长10-15厘米，先端钝，基部楔形，全缘；叶柄长8毫米，花单性，腋生，黄色，无柄；萼与花瓣均4片，圆形，覆瓦状排列；雄花2-3，簇生，雌花单生，较大，浆果亚球形。,本品毒性较大，内服少量，即能致泻。体质虚弱者禁服。如误服过量，则可引起头昏、呕吐、腹痛、泄泻，甚至致死，故多作外用，很少内服
http://www.zhongyoo.com/name/roudoukou_107.html,肉豆蔻,肉豆叩、肉果、玉果、顶头肉、迦拘勒,Myristicae Semen。,无,温，味辛。归大肠经、胃经、脾经,温中行气、涩肠止泻。属收涩药下分类的敛肺涩肠药。,用量3～9克，煎服。用治脾胃虚寒、久泻不止、脘腹胀痛、食少呕吐。肉豆蔻(去壳，为末)l两，汁二合，白面2两。上三味，将姜汁和面做饼，裹肉豆蔻末煨令黄熟，研为细散。每服二钱七，空心米饮调下，日午再服。治水泻无度、肠鸣腹痛(《圣济总录》肉豆蔻散)。,http://www.zhongyoo.com//uploads/allimg/131213/1-13121310240NM.jpg,常绿乔木。单叶互生，革质；叶片椭圆状披针形或长圆状披针形，先端渐尖，基部急尖，全缘，上面暗绿色，下面色较淡，并有红棕色的叶脉。总状花序腋生，花单生，异株，小苞片鳞片状，花被钟形，3裂，黄白色；雄蕊8~12枚，花丝联合成圆柱状，花药合生；子房1室，柱头无柄。果实梨形或近圆球形，淡黄色或橙红色，肉质，露出红色肉质的假种皮，内含种子1粒，种皮红褐色，木质坚硬。,有小毒。凡使，勿令犯铜不能用金属物品存放，不宜用生品
http://www.zhongyoo.com/name/shanyurou_657.html,山萸肉,山茱萸、萸肉、药枣,Corni Fructus。,生于阴湿沟畔、溪旁或向阳山坡灌丛中；有栽培。分布于山西、陕西、山东等地。,微温，味酸、涩。归肝经、肾经,补益肝肾、涩精固脱。属收涩药下属分类的固精缩尿止带药。,用量6～12克。用治眩晕耳鸣、腰膝酸疼、阳痿遗精、遗尿尿频、崩漏带下、大汗虚脱、内热消渴。,http://www.zhongyoo.com//uploads/allimg/2111/1-21112121450QI.jpg,落叶灌木或小乔木，高约4米。树皮淡褐色，成薄片剥裂。枝皮灰棕色，小枝无毛。单叶对生，具短柄；叶片椭圆形或长椭圆形，先端渐尖，基部圆或楔形，全缘，上面疏生平贴毛，下面粉绿色，毛较密，侧脉6～8对，脉腋有黄褐色毛丛。夏季先叶开黄色花，伞形花序顶生或腋生，基部具4个小型苞片，花萼裂片4，不明显；花瓣4，长约3毫米；雄蕊4枚，与瓣互生；子房下位，2室，花柱1。核果长椭圆形，光滑，熟时红色，果梗细长，果皮干后呈网纹状。种子长椭圆形，两端钝圆。花期3～4月，果期9～10月。,命门火炽，肝阳上亢，及素有湿热，小便不利者禁服
http://www.zhongyoo.com/name/luo__5947.html,萝藦,芄兰、羊角菜、婆婆针线包、奶桨藤、野隔山消,Herba Acalyphae,生于林边荒地、河边、路旁灌木丛中。分布于东北、华北、华东及陕西、甘肃、河南、湖北、湖南、贵州等地。,平，味甘、辛。归脾经、肺经、肾经(《吉林省中药材标准第一册（2019年版）》),补精益气，通乳，解毒。属补虚药下属分类的补阳药。,内服：煎汤，15～60克。外用：鲜品适量，捣敷。主治虚损劳伤，阳痿，遗精白带，乳汁不足，丹毒，瘰疬，疔疮，蛇虫咬伤。,http://www.zhongyoo.com//uploads/allimg/2111/1-211119102Z59C.jpg,多年生草质藤本，长达8米。全株具乳汁；茎下部木质化，上部较柔韧，有纵条纹，幼叶密被短柔毛，老时毛渐脱落。叶对生，膜质；柄长3～6厘米，先端具丛生腺体；叶片卵状心形，长5～12厘米，宽4～7厘米，先端短渐尖，基部心形，叶耳圆，长1～2厘米，上面绿色，下面粉绿色，两面无毛；侧脉10～12对，在叶背略明显。总状式聚伞花序腋生或腋外生；总花梗长6～12厘米，被短柔毛；花梗长约8毫米，被短柔毛；小苞片膜质，披针形，先端渐尖；花萼裂片披针形，外面被微毛；花冠白色，有淡紫红色斑纹，近辐状；花冠裂片张开，先端反折，基部向左覆盖；副花冠环状，着生于合蕊冠上，短5裂，裂片兜状；雄蕊连生成圆锥状，并包围雌蕊在其中；花粉块下垂；子房由2枚离生心皮组成，无毛，柱头延伸成一长喙，先端2裂。蓇葖果叉生，纺锤形，平滑无毛，长8～9厘米，先端渐尖，基部膨大。种子扁平，褐色，有膜质边，先端具白色绢质种毛。花期7～8月，果期9～12月。,老弱气虚者慎服，孕妇禁服
